OPEID,Name,Address,City,State,State Desc,Zip Code,Zip Ext,ProgLength,SchoolType,Year 1,"Dual
Num 1","Dual
Denom 1",DRate 1,PRate 1,EthnicCode,Program,Cong Dis,Region,Year 2,"Dual
Num 2","Dual
Denom 2",DRate 2,PRate 2,Year 3,"Dual
Num 3","Dual
Denom 3",DRate 3,PRate 3
001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,4900 MERIDIAN STREET                              ,NORMAL              ,AL,ALABAMA                                                     ,35762,1357,8,1,2014,332,1753,18.9,A,2,D,05      ,04,2013,300,1812,16.5,A,2012,326,1895,17.2,A
001003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,ALABAMA                                                     ,36109,3398,8,2,2014,192,1470,13.0,A,5,D,02      ,04,2013,143,1491,9.5,A,2012,143,1417,10.0,A
001004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,ALABAMA                                                     ,35115,6000,8,1,2014,64,793,8.0,A,5,D,06      ,04,2013,57,744,7.6,A,2012,83,805,10.3,A
001005,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,MONTGOMERY          ,AL,ALABAMA                                                     ,36104,5714,8,1,2014,471,2419,19.4,P,2,D,03      ,04,2013,367,2196,16.7,P,2012,334,2137,15.6,P
001007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,ALEXANDER CITY      ,AL,ALABAMA                                                     ,35010,0000,5,1,2014,184,674,27.2,P,5,D,03      ,04,2013,146,659,22.1,P,2012,144,656,21.9,P
001008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,ALABAMA                                                     ,35611,1999,8,1,2014,49,901,5.4,A,5,D,05      ,04,2013,51,959,5.3,A,2012,80,929,8.6,A
001009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,ALABAMA                                                     ,36849,5113,8,1,2014,139,3676,3.7,P,5,D,03      ,04,2013,160,3727,4.2,P,2012,170,3772,4.5,P
001012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35254,0002,6,2,2014,11,250,4.4,A,5,D,07      ,04,2013,8,271,2.9,A,2012,12,267,4.4,A
001013,CALHOUN COMMUNITY COLLEGE                                        ,6250 HIGHWAY 31 NORTH                             ,TANNER              ,AL,ALABAMA                                                     ,35671,0000,5,1,2014,430,2264,18.9,P,5,D,05      ,04,2013,357,2107,16.9,P,2012,325,1770,18.3,P
001015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,ENTERPRISE          ,AL,ALABAMA                                                     ,36331,1300,5,1,2014,109,490,22.2,A,5,D,02      ,04,2013,113,554,20.3,A,2012,116,499,23.2,A
001016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,ALABAMA                                                     ,35632,0001,8,1,2014,176,1539,11.4,A,5,D,05      ,04,2013,160,1564,10.2,A,2012,171,1532,11.1,A
001019,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,MONTGOMERY          ,AL,ALABAMA                                                     ,36106,2148,6,2,2014,52,413,12.5,A,5,D,02      ,04,2013,54,390,13.8,A,2012,38,370,10.2,A
001020,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",JACKSONVILLE        ,AL,ALABAMA                                                     ,36265,1602,8,1,2014,272,2393,11.3,A,5,D,03      ,04,2013,316,2708,11.6,A,2012,253,2631,9.6,A
001022,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35215,3098,5,1,2014,222,1588,13.9,A,5,D,07      ,04,2013,208,1650,12.6,A,2012,245,1524,16.0,A
001023,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,MARION              ,AL,ALABAMA                                                     ,36756,2504,6,2,2014,17,121,14.0,A,5,D,07      ,04,2013,9,98,9.1,A,2012,11,83,13.2,A
001024,UNIVERSITY OF WEST ALABAMA                                       ,205 NORTH WASHINGTON                              ,LIVINGSTON          ,AL,ALABAMA                                                     ,35470,0000,8,1,2014,181,2124,8.5,A,5,D,07      ,04,2013,203,2331,8.7,A,2012,174,2220,7.8,A
001026,MARION MILITARY INSTITUTE                                        ,1101 WASHINGTON STREET                            ,MARION              ,AL,ALABAMA                                                     ,36756,3214,5,1,2014,18,173,10.4,A,5,D,07      ,04,2013,33,186,17.7,A,2012,22,161,13.6,A
001028,MILES COLLEGE                                                    ,5500 MYRON MASSEY BOULEVARD                       ,FAIRFIELD           ,AL,ALABAMA                                                     ,35064,2697,6,2,2014,94,833,11.2,A,2,D,07      ,04,2013,134,909,14.7,A,2012,144,853,16.8,A
001029,UNIVERSITY OF MOBILE                                             ,5735 COLLEGE PARKWAY                              ,MOBILE              ,AL,ALABAMA                                                     ,36663,0220,8,2,2014,42,574,7.3,A,5,D,01      ,04,2013,39,661,5.9,A,2012,36,574,6.2,A
001031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,138  HIGHWAY 35                    138  ALABAMA HI,RAINSVILLE          ,AL,ALABAMA                                                     ,35986,0159,5,1,2014,80,414,19.3,A,5,D,04      ,04,2013,67,419,15.9,A,2012,92,396,23.2,A
001033,OAKWOOD UNIVERSITY                                               ,"7000 ADVENTIST BOULEVARD, NORTHWEST               ",HUNTSVILLE          ,AL,ALABAMA                                                     ,35896,0001,8,2,2014,90,609,14.7,A,2,D,05      ,04,2013,79,600,13.1,A,2012,68,540,12.5,A
001036,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35229,7000,8,2,2014,20,932,2.1,A,5,D,06      ,04,2013,20,973,2.0,A,2012,7,911,0.7,A
001038,SNEAD STATE COMMUNITY COLLEGE                                    ,220 NORTH WALNUT STREET                           ,BOAZ                ,AL,ALABAMA                                                     ,35957,0734,5,1,2014,113,372,30.3,A,5,D,04      ,04,2013,36,106,33.9,A,2012,0,0,0.0,A
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,750 ROBERTS STREET                                ,WADLEY              ,AL,ALABAMA                                                     ,36276,0000,5,1,2014,189,1016,18.6,P,5,D,03      ,04,2013,159,928,17.1,P,2012,158,914,17.2,P
001041,SPRING HILL COLLEGE                                              ,4000 DAUPHIN STREET                               ,MOBILE              ,AL,ALABAMA                                                     ,36608,1791,8,2,2014,27,382,7.0,A,5,D,01      ,04,2013,24,411,5.8,A,2012,28,420,6.6,A
001044,STILLMAN COLLEGE                                                 ,3601 STILLMAN BOULEVARD                           ,TUSCALOOSA          ,AL,ALABAMA                                                     ,35401,1430,6,2,2014,99,438,22.6,A,2,D,07      ,04,2013,63,392,16.0,A,2012,83,442,18.7,A
001046,TALLADEGA COLLEGE                                                ,627 WEST BATTLE STREET                            ,TALLADEGA           ,AL,ALABAMA                                                     ,35160,2354,6,2,2014,142,503,28.2,A,2,D,03      ,04,2013,95,366,25.9,A,2012,106,377,28.1,A
001047,TROY UNIVERSITY                                                  ,UNIVERSITY AVENUE                  ADAMS ADMINISTR,TROY                ,AL,ALABAMA                                                     ,36082,0001,8,1,2014,840,7314,11.4,P,5,D,02      ,04,2013,900,8222,10.9,P,2012,996,8713,11.4,P
001050,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,TUSKEGEE INSTITUTE  ,AL,ALABAMA                                                     ,36088,1645,8,2,2014,93,806,11.5,P,2,D,03      ,04,2013,109,905,12.0,P,2012,116,901,12.8,P
001051,UNIVERSITY OF ALABAMA                                            ,801 UNIVERSITY BOULEVARD           ROSE ADMINISTRA,TUSCALOOSA          ,AL,ALABAMA                                                     ,35487,0120,8,1,2014,312,5433,5.7,P,5,D,07      ,04,2013,275,5325,5.1,P,2012,317,5023,6.3,P
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,ALABAMA                                                     ,35294,1150,8,1,2014,241,4224,5.7,P,5,D,07      ,04,2013,223,4159,5.3,P,2012,245,3937,6.2,P
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,ALABAMA                                                     ,35899,0001,8,1,2014,82,1511,5.4,A,5,D,05      ,04,2013,77,1464,5.2,A,2012,93,1513,6.1,A
001057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,ALABAMA                                                     ,36688,0002,8,1,2014,311,3809,8.1,P,5,D,01      ,04,2013,284,3625,7.8,P,2012,289,3847,7.5,P
001060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,BAY MINETTE         ,AL,ALABAMA                                                     ,36507,2698,5,1,2014,274,1363,20.1,P,5,D,01      ,04,2013,256,1346,19.0,A,2012,180,1107,16.2,A
001061,ALASKA PACIFIC UNIVERSITY                                        ,4101 UNIVERSITY DRIVE                             ,ANCHORAGE           ,AK,ALASKA                                                      ,99508,4672,8,2,2014,9,169,5.3,A,5,D,AL      ,10,2013,10,199,5.0,A,2012,16,207,7.7,A
001063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,"3RD FLOOR, SIGNER'S HALL                          ",FAIRBANKS           ,AK,ALASKA                                                      ,99775,7500,8,1,2014,162,1304,12.4,P,5,D,AL      ,10,2013,164,1359,12.0,P,2012,162,1287,12.5,P
001065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,11066 AUKE LAKE WAY                               ,JUNEAU              ,AK,ALASKA                                                      ,99801,8680,8,1,2014,42,446,9.4,P,5,D,AL      ,10,2013,34,438,7.7,P,2012,54,465,11.6,P
001071,ARIZONA WESTERN COLLEGE                                          ,2020 SOUTH AVENUE 8E               FINANCIAL AID O,YUMA                ,AZ,ARIZONA                                                     ,85365,8847,5,1,2014,67,390,17.1,A,3,D,07      ,09,2013,105,427,24.5,A,2012,141,522,27.0,A
001072,COCHISE COLLEGE                                                  ,901 NORTH COLOMBO                                 ,SIERRA VISTA        ,AZ,ARIZONA                                                     ,85635,2317,5,1,2014,16,262,6.1,A,3,D,08      ,09,2013,19,362,5.2,A,2012,36,374,9.6,A
001074,GRAND CANYON UNIVERSITY                                          ,3300 WEST CAMELBACK ROAD                          ,PHOENIX             ,AZ,ARIZONA                                                     ,85017,3030,8,3,2014,2278,26545,8.5,A,5,D,04      ,09,2013,2218,24074,9.2,A,2012,2331,22551,10.3,A
001076,GLENDALE COMMUNITY COLLEGE                                       ,6000 WEST OLIVE AVENUE                            ,GLENDALE            ,AZ,ARIZONA                                                     ,85302,3090,5,1,2014,715,3495,20.4,A,5,D,02      ,09,2013,695,3279,21.1,A,2012,649,2943,22.0,A
001077,MESA COMMUNITY COLLEGE                                           ,1833 WEST SOUTHERN AVENUE                         ,MESA                ,AZ,ARIZONA                                                     ,85202,4866,5,1,2014,1152,5033,22.8,A,5,D,05      ,09,2013,1325,5447,24.3,A,2012,1174,5105,22.9,A
001078,PHOENIX COLLEGE                                                  ,1202 WEST THOMAS ROAD                             ,PHOENIX             ,AZ,ARIZONA                                                     ,85013,4234,5,1,2014,975,3145,31.0,A,3,D,04      ,09,2013,783,2832,27.6,A,2012,574,2312,24.8,A
001079,YAVAPAI COLLEGE                                                  ,1100 EAST SHELDON STREET                          ,PRESCOTT            ,AZ,ARIZONA                                                     ,86301,3297,5,1,2014,197,771,25.5,A,5,D,01      ,09,2013,137,616,22.2,A,2012,131,563,23.2,A
001081,ARIZONA STATE UNIVERSITY                                         ,FINANCIAL AID & SCHOLARSHIP SRVCS  1151 SOUTH FORE,TEMPE               ,AZ,ARIZONA                                                     ,85287,0412,8,1,2014,1175,17420,6.7,A,5,D,05      ,09,2013,1131,16222,6.9,A,2012,1096,14964,7.3,A
001082,NORTHERN ARIZONA UNIVERSITY                                      ,"GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209       ",FLAGSTAFF           ,AZ,ARIZONA                                                     ,86011,0001,8,1,2014,509,6999,7.2,A,5,D,01      ,09,2013,450,6708,6.7,A,2012,463,6336,7.3,A
001083,UNIVERSITY OF ARIZONA (THE)                                      ,PO BOX 210066                      ADMINISTRATION ,TUCSON              ,AZ,ARIZONA                                                     ,85721,0066,8,1,2014,449,6686,6.7,P,5,D,07      ,09,2013,346,6122,5.6,P,2012,384,6390,6.0,P
001085,UNIVERSITY OF ARKANSAS AT MONTICELLO                             ,140 UNIVERSITY DRIVE                              ,MONTICELLO          ,AR,ARKANSAS                                                    ,71656,0000,8,1,2014,244,1248,19.5,P,5,D,04      ,06,2013,339,1432,23.6,P,2012,320,1284,24.9,P
001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF                             ,1200 NORTH UNIVERSITY DRIVE                       ,PINE BLUFF          ,AR,ARKANSAS                                                    ,71601,2790,8,1,2014,185,1036,17.8,A,2,D,04      ,06,2013,321,1245,25.7,A,2012,294,1189,24.7,A
001087,ARKANSAS BAPTIST COLLEGE                                         ,1621 DOCTOR MARTIN L. KING DRIVE                  ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72202,6099,6,2,2014,93,406,22.9,A,2,D,02      ,06,2013,132,580,22.7,A,2012,249,979,25.4,A
001088,LYON COLLEGE                                                     ,2300 HIGHLAND ROAD                                ,BATESVILLE          ,AR,ARKANSAS                                                    ,72501,3699,6,2,2014,16,201,7.9,A,5,D,01      ,06,2013,10,149,6.7,A,2012,13,202,6.4,A
001089,ARKANSAS TECH UNIVERSITY                                         ,215 WEST O STREET                                 ,RUSSELLVILLE        ,AR,ARKANSAS                                                    ,72801,2222,8,1,2014,268,2755,9.7,P,5,D,03      ,06,2013,351,2579,13.6,P,2012,404,2351,17.1,P
001090,ARKANSAS STATE UNIVERSITY                                        ,2105 AGGIE ROAD                                   ,JONESBORO           ,AR,ARKANSAS                                                    ,72401,0000,8,1,2014,322,4475,7.1,P,5,D,01      ,06,2013,463,4871,9.5,P,2012,482,4719,10.2,P
001091,ARKANSAS STATE UNIVERSITY - BEEBE                                ,1000 IOWA STREET                                  ,BEEBE               ,AR,ARKANSAS                                                    ,72012,1000,5,1,2014,83,593,13.9,P,5,D,02      ,06,2013,131,667,19.6,P,2012,147,733,20.0,P
001092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,201 DONAGHEY AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72035,0001,8,1,2014,232,2615,8.8,A,5,D,02      ,06,2013,218,2639,8.2,A,2012,247,2701,9.1,A
001093,CENTRAL BAPTIST COLLEGE                                          ,1501 COLLEGE AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72034,6470,6,2,2014,33,262,12.5,A,5,D,02      ,06,2013,28,210,13.3,A,2012,23,211,10.9,A
001094,UNIVERSITY OF THE OZARKS                                         ,415 NORTH COLLEGE AVENUE                          ,CLARKSVILLE         ,AR,ARKANSAS                                                    ,72830,2880,6,2,2014,13,141,9.2,A,5,D,03      ,06,2013,19,146,13.0,A,2012,23,131,17.5,A
001095,CROWLEY'S RIDGE COLLEGE                                          ,100 COLLEGE DRIVE                                 ,PARAGOULD           ,AR,ARKANSAS                                                    ,72450,9775,6,2,2014,10,49,20.4,A,5,D,01      ,06,2013,15,79,18.9,A,2012,17,69,24.6,A
001097,HARDING UNIVERSITY                                               ,915 EAST MARKET                                   ,SEARCY              ,AR,ARKANSAS                                                    ,72149,0001,8,2,2014,47,1283,3.6,A,5,D,02      ,06,2013,44,1287,3.4,A,2012,41,1312,3.1,A
001098,HENDERSON STATE UNIVERSITY                                       ,1100 HENDERSON STREET                             ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71999,0001,8,1,2014,115,1099,10.4,A,5,D,04      ,06,2013,147,1121,13.1,A,2012,163,1092,14.9,A
001099,HENDRIX COLLEGE                                                  ,1600 WASHINGTON AVENUE                            ,CONWAY              ,AR,ARKANSAS                                                    ,72032,3080,8,2,2014,9,246,3.6,A,5,D,02      ,06,2013,10,263,3.8,A,2012,13,267,4.8,A
001100,JOHN BROWN UNIVERSITY                                            ,2000 WEST UNIVERSITY STREET                       ,SILOAM SPRINGS      ,AR,ARKANSAS                                                    ,72761,2747,8,2,2014,15,604,2.4,A,5,D,03      ,06,2013,25,638,3.9,A,2012,20,644,3.1,A
001101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,2801 SOUTH UNIVERSITY                             ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72204,1099,8,1,2014,339,3485,9.7,A,5,D,02      ,06,2013,342,3542,9.6,A,2012,289,3353,8.6,A
001102,OUACHITA BAPTIST UNIVERSITY                                      ,410 OUACHITA DRIVE                                ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71998,0001,6,2,2014,19,289,6.5,A,5,D,04      ,06,2013,21,270,7.7,A,2012,20,290,6.8,A
001103,PHILANDER SMITH COLLEGE                                          ,900 WEST DAISY GASTON BATES DRIVE                 ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72202,3718,6,2,2014,55,270,20.3,A,2,D,02      ,06,2013,62,300,20.6,A,2012,41,262,15.6,A
001104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,HELENA              ,AR,ARKANSAS                                                    ,72342,0000,5,1,2014,13,59,22.0,A,5,D,01      ,06,2013,21,74,28.3,A,2012,15,88,17.0,A
001105,SHORTER COLLEGE                                                  ,604 LOCUST STREET                                 ,NORTH LITTLE ROCK   ,AR,ARKANSAS                                                    ,72114,4885,5,2,2014,19,82,23.1,A,2,D,02      ,06,2013,8,17,47.0,B,2012,0,0,0.0,A
001106,WILLIAMS BAPTIST COLLEGE                                         ,60 W. FULLBRIGHT AVENUE                           ,WALNUT RIDGE        ,AR,ARKANSAS                                                    ,72476,4661,8,2,2014,11,179,6.1,A,5,D,01      ,06,2013,14,179,7.8,A,2012,16,178,8.9,A
001107,SOUTHERN ARKANSAS UNIVERSITY                                     ,100 EAST UNIVERSITY                               ,MAGNOLIA            ,AR,ARKANSAS                                                    ,71753,5000,8,1,2014,164,916,17.9,A,5,D,04      ,06,2013,152,916,16.5,A,2012,170,943,18.0,A
001108,UNIVERSITY OF ARKANSAS                                           ,425 ADMINISTRATION BUILDING                       ,FAYETTEVILLE        ,AR,ARKANSAS                                                    ,72701,0000,8,1,2014,261,3837,6.8,P,5,D,03      ,06,2013,246,3722,6.6,P,2012,220,3460,6.3,P
001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES                      ,4301 WEST MARKHAM STREET           SLOT 864       ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72205,7102,8,1,2014,13,764,1.7,P,5,D,02      ,06,2013,11,708,1.5,P,2012,9,759,1.1,P
001110,UNIVERSITY OF ARKANSAS AT FORT SMITH                             ,5210 GRAND AVENUE                                 ,FORT SMITH          ,AR,ARKANSAS                                                    ,72904,7397,6,1,2014,199,1668,11.9,A,5,D,03      ,06,2013,324,1710,18.9,A,2012,348,1710,20.3,A
001111,ALLAN HANCOCK COLLEGE                                            ,800 SOUTH COLLEGE DRIVE                           ,SANTA MARIA         ,CA,CALIFORNIA                                                  ,93454,6399,5,1,2014,29,144,20.1,A,3,D,23      ,09,2013,25,135,18.5,A,2012,28,114,24.5,A
001113,ANTELOPE VALLEY COLLEGE                                          ,3041 WEST AVENUE K                                ,LANCASTER           ,CA,CALIFORNIA                                                  ,93536,5426,6,1,2014,396,1640,24.1,A,5,D,22      ,09,2013,317,1525,20.7,A,2012,428,1634,26.1,A
001116,ART CENTER COLLEGE OF DESIGN                                     ,1700 LIDA STREET                                  ,PASADENA            ,CA,CALIFORNIA                                                  ,91103,1999,8,2,2014,27,412,6.5,A,5,D,29      ,09,2013,18,451,3.9,A,2012,15,462,3.2,A
001117,AZUSA PACIFIC UNIVERSITY                                         ,901 EAST ALOSTA AVENUE                            ,AZUSA               ,CA,CALIFORNIA                                                  ,91702,7000,8,2,2014,124,3247,3.8,A,5,D,32      ,09,2013,92,3114,2.9,A,2012,103,2857,3.6,A
001118,BAKERSFIELD COLLEGE                                              ,1801 PANORAMA DRIVE                               ,BAKERSFIELD         ,CA,CALIFORNIA                                                  ,93305,1299,6,1,2014,110,539,20.4,A,3,D,22      ,09,2013,134,626,21.4,A,2012,133,623,21.3,A
001120,AMERICAN BAPTIST SEMINARY OF THE WEST                            ,2606 DWIGHT WAY                                   ,BERKELEY            ,CA,CALIFORNIA                                                  ,94704,3029,8,2,2014,4,57,7.0,P,5,D,09      ,09,2013,4,50,8.0,P,2012,9,41,21.9,P
001122,BIOLA UNIVERSITY                                                 ,13800 BIOLA AVENUE                                ,LA MIRADA           ,CA,CALIFORNIA                                                  ,90639,0001,8,2,2014,38,1294,2.9,A,5,D,39      ,09,2013,28,1326,2.1,A,2012,31,1357,2.2,A
001124,CABRILLO COLLEGE                                                 ,6500 SOQUEL DRIVE                                 ,APTOS               ,CA,CALIFORNIA                                                  ,95003,3194,5,1,2014,58,332,17.4,A,5,D,17      ,09,2013,75,405,18.5,A,2012,53,324,16.3,A
001125,CALIFORNIA BAPTIST UNIVERSITY                                    ,8432 MAGNOLIA AVENUE                              ,RIVERSIDE           ,CA,CALIFORNIA                                                  ,92504,3297,8,2,2014,93,2128,4.3,A,5,D,44      ,09,2013,75,1759,4.2,A,2012,75,1567,4.7,A
001127,CALIFORNIA COLLEGE OF THE ARTS                                   ,1111 EIGHTH STREET                                ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94107,2206,8,2,2014,28,488,5.7,A,5,D,08      ,09,2013,29,517,5.6,A,2012,17,504,3.3,A
001131,CALIFORNIA INSTITUTE OF TECHNOLOGY                               ,1200 EAST CALIFORNIA BOULEVARD                    ,PASADENA            ,CA,CALIFORNIA                                                  ,91125,0001,8,2,2014,0,37,0.0,A,5,D,29      ,09,2013,2,104,1.9,B,2012,1,39,2.5,A
001132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,VALENCIA            ,CA,CALIFORNIA                                                  ,91355,2397,8,2,2014,19,362,5.2,A,5,D,25      ,09,2013,17,413,4.1,A,2012,19,355,5.3,A
001133,CALIFORNIA LUTHERAN UNIVERSITY                                   ,60 WEST OLSEN ROAD                                ,THOUSAND OAKS       ,CA,CALIFORNIA                                                  ,91360,2787,8,2,2014,30,1003,2.9,P,5,D,24      ,09,2013,29,1130,2.5,P,2012,27,986,2.7,A
001134,CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY                     ,200 MARITIME ACADEMY DRIVE                        ,VALLEJO             ,CA,CALIFORNIA                                                  ,94590,8181,8,1,2014,10,213,4.6,A,5,D,07      ,09,2013,8,210,3.8,A,2012,7,181,3.8,A
001137,"CALIFORNIA STATE UNIVERSITY, FULLERTON                           ",800 NORTH STATE COLLEGE BOULEVARD                 ,FULLERTON           ,CA,CALIFORNIA                                                  ,92831,3599,8,1,2014,219,5835,3.7,A,5,D,40      ,09,2013,233,5620,4.1,A,2012,185,5249,3.5,A
001138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",25800 CARLOS BEE BOULEVARD                        ,HAYWARD             ,CA,CALIFORNIA                                                  ,94542,3000,8,1,2014,181,3116,5.8,A,5,D,13      ,09,2013,155,2914,5.3,A,2012,120,2576,4.6,A
001139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH                          ",1250 BELLFLOWER BOULEVARD                         ,LONG BEACH          ,CA,CALIFORNIA                                                  ,90840,0006,8,1,2014,201,6233,3.2,A,5,D,46      ,09,2013,214,6145,3.4,A,2012,208,5461,3.8,A
001140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",5151 STATE UNIVERSITY DRIVE                       ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90032,4226,8,1,2014,218,3891,5.6,A,3,D,32      ,09,2013,192,4020,4.7,A,2012,211,3463,6.0,A
001141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1000 EAST VICTORIA STREET                         ,CARSON              ,CA,CALIFORNIA                                                  ,90747,0001,8,1,2014,248,3226,7.6,A,3,D,37      ,09,2013,211,3251,6.4,A,2012,215,2784,7.7,A
001142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",5500 UNIVERSITY PARKWAY                           ,SAN BERNARDINO      ,CA,CALIFORNIA                                                  ,92407,2397,8,1,2014,224,3891,5.7,A,3,D,41      ,09,2013,223,3842,5.8,A,2012,254,3669,6.9,A
001143,CALIFORNIA POLYTECHNIC STATE UNIVERSITY                          ,ONE GRAND AVENUE                                  ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93407,0001,8,1,2014,43,2684,1.6,A,5,D,22      ,09,2013,52,2887,1.8,A,2012,41,2554,1.6,A
001144,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA                  ",3801 WEST TEMPLE AVENUE                           ,POMONA              ,CA,CALIFORNIA                                                  ,91768,2500,8,1,2014,134,3562,3.7,A,5,D,38      ,09,2013,100,3450,2.8,A,2012,102,3184,3.2,A
001146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",400 WEST FIRST STREET                             ,CHICO               ,CA,CALIFORNIA                                                  ,95929,0001,8,1,2014,167,3081,5.4,A,5,D,02      ,09,2013,120,3051,3.9,A,2012,162,2902,5.5,A
001147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",5150 NORTH MAPLE AVENUE            MS JA64        ,FRESNO              ,CA,CALIFORNIA                                                  ,93740,8026,8,1,2014,234,3809,6.1,P,3,D,21      ,09,2013,181,3712,4.8,P,2012,150,3463,4.3,P
001149,HUMBOLDT STATE UNIVERSITY                                        ,1 HARPST STREET                                   ,ARCATA              ,CA,CALIFORNIA                                                  ,95521,8299,8,1,2014,138,1907,7.2,A,5,D,01      ,09,2013,129,1902,6.7,A,2012,164,1773,9.2,A
001150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,6000 J STREET                                     ,SACRAMENTO          ,CA,CALIFORNIA                                                  ,95819,6044,8,1,2014,304,5844,5.2,A,5,D,05      ,09,2013,309,5731,5.3,A,2012,298,5071,5.8,A
001151,SAN DIEGO STATE UNIVERSITY                                       ,5500 CAMPANILE DRIVE                              ,SAN DIEGO           ,CA,CALIFORNIA                                                  ,92182,1690,8,1,2014,197,5471,3.6,P,5,D,53      ,09,2013,188,5447,3.4,P,2012,195,5393,3.6,P
001153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,NORTHRIDGE          ,CA,CALIFORNIA                                                  ,91330,8307,8,1,2014,372,7110,5.2,P,3,D,27      ,09,2013,371,6921,5.3,P,2012,338,6467,5.2,P
001154,SAN FRANCISCO STATE UNIVERSITY                                   ,1600 HOLLOWAY AVENUE                              ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94132,1740,8,1,2014,316,5859,5.3,A,5,D,12      ,09,2013,232,5664,4.0,A,2012,317,5506,5.7,A
001155,SAN JOSE STATE UNIVERSITY                                        ,ONE WASHINGTON SQUARE                             ,SAN JOSE            ,CA,CALIFORNIA                                                  ,95192,0036,8,1,2014,183,5216,3.5,A,5,D,16      ,09,2013,195,5158,3.7,A,2012,144,4566,3.1,A
